time,arm1_Ang_pos,arm1_Ang_vel,arm1_Ang_acc,arm1_Ang_jerk,tail_Ang_pos,tail_Ang_vel,tail_Ang_acc,tail_Ang_jerk,tail_torque,arm2_Ang_pos,arm2_Ang_vel,arm2_Ang_acc,arm2_Ang_jerk,phi_pos,phi_vel,phi_acc,phi_jerk,phi_torque,phi_theta3_diff,arm1_Ang_meas_pos,arm1_Ang_meas_vel,tail_Ang_meas_pos,tail_Ang_meas_vel,phi_meas_pos,phi_meas_vel,tail_meas_torque,phi_meas_torque,arm2_Ang_meas_pos,arm2_Ang_meas_vel
1.000429821580363712e-02,8.771095566237585269e-04,1.570218520819437746e-01,1.462684887252322419e+01,-2.178358261430811922e+02,-2.289127276462383110e-03,-4.086028138491362149e-01,-3.837736477814948444e+01,5.083024518835213144e+02,2.666889821947609693e-02,-1.865889328217841493e-03,-3.230219051452725143e-01,-2.649174622873615448e+01,1.095312676685587348e+03,4.232379482445421592e-04,8.558090870386375615e-02,1.186517961671846955e+01,7.099440362802943127e+02,1.033658125317075405e-01,2.289127276462383544e-03,8.272613288562619170e-04,1.639630661946371581e-01,-2.139991445229617872e-03,-4.247881330404299494e-01,2.946478955669431274e-04,6.529071906294807437e-02,1.449008854008516055e-02,5.604110997125697630e-02,-1.845343549662674691e-03,-3.594974139774818611e-01
1.100472803738400222e-02,1.054355555581724816e-03,1.715420262118717842e-01,1.439707416470399082e+01,-2.217998763664848809e+02,-2.752610419297652974e-03,-4.467326224812281366e-01,-3.783981088576124563e+01,5.194015237569191186e+02,2.933578804143006230e-02,-2.228895261638551804e-03,-3.489451054713560985e-01,-2.530058756233304962e+01,1.099000007981251429e+03,5.237151576591016038e-04,9.778751700987212137e-02,1.251860786327636177e+01,7.038703492122837133e+02,1.137023937848782862e-01,2.752610419297653408e-03,9.991127210075406977e-04,1.795695483875499321e-01,-2.585334784269607486e-03,-4.654635452694501629e-01,3.644855041048837086e-04,7.442793918057337421e-02,1.738796064990940846e-02,6.583022866929032213e-02,-2.220849280164723886e-03,-3.910356060888767749e-01
1.200515785896436559e-02,1.246502734391844022e-03,1.858302443927108416e-01,1.416303758061838103e+01,-2.257486123569646281e+02,-3.255324496751393470e-03,-4.843188665975760587e-01,-3.729047765069491049e+01,5.304658466736112814e+02,3.200267786338403808e-02,-2.618258502506002998e-03,-3.736730358356317172e-01,-2.410048006410084298e+01,1.102121918465861654e+03,6.370659942453905803e-04,1.106458307619442305e-01,1.316906586703838933e+01,6.981169950825342312e+02,1.240389750380490597e-01,3.255324496751393470e-03,1.186471803677439625e-03,1.949471758887919848e-01,-3.071124794702362239e-03,-5.056004679625225595e-01,4.437801576939629324e-04,8.419234625254140569e-02,2.046544362186593705e-02,7.612863092319489822e-02,-2.627344637008399361e-03,-4.214081217099811538e-01
1.300558768054472895e-02,1.453206613321899199e-03,1.998822454134734639e-01,1.392473894801598178e+01,-2.296809673244552243e+02,-3.796414950878717037e-03,-5.213497674670991566e-01,-3.672936470752856053e+01,5.414931606018475350e+02,3.466956768533800692e-02,-3.032549423109199421e-03,-3.971968328471223719e-01,-2.289140864879507831e+01,1.104580730590331996e+03,7.638655277695179406e-04,1.241529346199767847e-01,1.381656185838322948e+01,6.926376786392341955e+02,1.343755562912197776e-01,3.796414950878717470e-03,1.389120201639623166e-03,2.100807438730005750e-01,-3.596851128110101388e-03,-5.451609591538488786e-01,5.331825449476771447e-04,9.460869607006182347e-02,2.368380686131195054e-02,8.678796347374689857e-02,-3.063668583162424026e-03,-4.505522630837870413e-01
1.400601750212509405e-02,1.674122712639675029e-03,2.136937680631722791e-01,1.368217807777362616e+01,-2.335957690972253147e+02,-4.375027223734743488e-03,-5.578135463587168275e-01,-3.615647165660585927e+01,5.524809921472702854e+02,3.733645750729196883e-02,-3.470338395737148675e-03,-4.195076331148503423e-01,-2.167335462713592520e+01,1.106254863558491252e+03,9.046888279975936207e-04,1.383059132438666239e-01,1.446110253412917146e+01,6.873946197617763119e+02,1.447121375443905511e-01,4.375027223734742621e-03,1.606741782748637029e-03,2.249539200851114473e-01,-4.161750561886821444e-03,-5.841036834960960933e-01,6.333159202640634838e-04,1.056949910843217183e-01,2.698538151616337519e-02,9.779472873191899507e-02,-3.528434641622757960e-03,-4.784086924117743611e-01
1.500644732370545742e-02,1.908906552612955974e-03,2.272605511308198323e-01,1.343535476179979682e+01,-2.374917269117826493e+02,-4.990306757374583964e-03,-5.936984245413492456e-01,-3.557179806001255429e+01,5.634266292700599479e+02,4.000334732924594461e-02,-3.930195792678857492e-03,-4.405965732478387964e-01,-2.044629456115876920e+01,1.106991037114846222e+03,1.060110964695726906e-03,1.531018512935104492e-01,1.510269339881908124e+01,6.823566810710142363e+02,1.550487187975612968e-01,4.990306757374584831e-03,1.839222273491910491e-03,2.395506919998367790e-01,-4.765588367317366049e-03,-6.223879964687258903e-01,7.449796451996316743e-04,1.174733941200387516e-01,3.039675753602811420e-02,1.091102005500096950e-01,-4.020608722117734700e-03,-5.049146023486871249e-01
1.600687714528582078e-02,2.157213653509524112e-03,2.405783334054286682e-01,1.318426877061825842e+01,-2.413674161601512083e+02,-5.641398993853356976e-03,-6.289926232839152531e-01,-3.497534343697100212e+01,5.743270922718039628e+02,4.267023715119989263e-02,-4.410691986223330002e-03,-4.604547898551104024e-01,-1.921019865372204549e+01,1.106593207100759628e+03,1.230707007630026323e-03,1.685378334288049063e-01,1.574133901874822250e+01,6.774979689543125687e+02,1.653853000507320425e-01,5.641398993853356109e-03,2.086098947436533946e-03,2.538637205863192858e-01,-5.407216449689064910e-03,-6.599948439128173749e-01,8.687139131714614231e-04,1.299499320841335515e-01,3.387657054258130795e-02,1.206552968067507864e-01,-4.538502536517603596e-03,-5.300449118286838512e-01
1.700730696686618415e-02,2.418699535597164992e-03,2.536428536760114150e-01,1.292891985057155857e+01,-2.452212607159429183e+02,-6.327449375226180603e-03,-6.636843638553345803e-01,-3.436710725854875648e+01,5.851791004569495271e+02,4.533712697315386148e-02,-4.910397348659577277e-03,-4.790734195456876066e-01,-1.796502843489662027e+01,1.104806511959622185e+03,1.417052026566602676e-03,1.846109443096469183e-01,1.637704321369806593e+01,6.727967739566719274e+02,1.757218813039027883e-01,6.327449375226179736e-03,2.347000088824801375e-03,2.678795881161248893e-01,-6.085728136192173308e-03,-6.968891394411917961e-01,1.005155800412784860e-03,1.431300021074968232e-01,3.740449353308798047e-02,1.323952670968518430e-01,-5.080572335779388882e-03,-5.537591373336949729e-01
1.800773678844654752e-02,2.693019719143662210e-03,2.664498507315807285e-01,1.266930772057281551e+01,-2.490515123779334488e+02,-7.047603343548165984e-03,-6.977618675245268465e-01,-3.374708894155813255e+01,5.959790336410894724e+02,4.800401679510783726e-02,-5.427882252276601711e-03,-4.964435989285935769e-01,-1.671073335899235701e+01,1.101293387722116449e+03,1.619721091271564056e-03,2.013182685959332696e-01,1.700980920349837788e+01,6.682347582073535932e+02,1.860584625570735617e-01,7.047603343548165984e-03,2.621864987564013431e-03,2.815832774144773620e-01,-6.801032711052589462e-03,-7.330331115064110392e-01,1.155234743901519586e-03,1.570345118333380530e-01,4.095020991471867017e-02,1.443159739940308994e-01,-5.645797967151070310e-03,-5.759985996730729862e-01
1.900816661002691088e-02,2.979829724416800663e-03,2.789950633611490982e-01,1.240543206831896939e+01,-2.528562268648607585e+02,-7.801006340874435535e-03,-7.312133555604112267e-01,-3.311528784150280558e+01,6.067228875733711675e+02,5.067090661706179916e-02,-5.961717069363412641e-03,-5.125564646128505375e-01,-1.544724566285582057e+01,1.095596990149171233e+03,1.839289271511020726e-03,2.186568909475605227e-01,1.763963972136531666e+01,6.637963251822205848e+02,1.963950438102443075e-01,7.801006340874433800e-03,2.910308143000507174e-03,2.949681456609364871e-01,-7.552185988297063432e-03,-7.684087643156786163e-01,1.319612856012180148e-03,1.716654098132117112e-01,4.453143387606756792e-02,1.563529491004164718e-01,-6.232573132284883501e-03,-5.967433545024669606e-01
